year,make,model,variant,Body Type,No. of Seats,Build Date,Compliance Date,VIN,Registration No,Registration State,Registration Expiry Date,No. of Plates,No. of Cylinders,Engine Capacity,Fuel Type,Transmission,Indicated Odometer Reading,Odometer Measurement,Exterior Colour,Interior Colour,Key,Spare Key,Owners Manual,Service History,Engine Turns Over,Location,date,bids,price,url
2008,Volkswagen,Eos,103 TDI 1F Turbo Diesel Automatic Convertible,Convertible,4,2008-12,2009-09,WVWZZZ1FZ9V019219,?,?,?,0,4,2,Diesel,Automatic,129450,kilometre,Light Blue,Black Leather,Yes,Yes,Yes,Yes,Yes,QLD,2025-03-19,7.0,0,https://www.grays.com/lot/0001-50514309/motor-vehicles-motor-cycles/2008-volkswagen-eos-103-tdi-1f-turbo-diesel-automatic-convertible
2010,Subaru,Liberty,2.5i GT Premium B5 Automatic Sedan,Sedan,5,2010-04,2010-06,JF1BM9KV3AG006885,XUD756,VIC,09-04-2025,2,4,2.5,Petrol,Automatic,215457,kilometre,Grey,Black Leather,Yes,No,Yes,Yes,Yes,VIC,2025-04-02,44.0,0,https://www.grays.com/lot/0001-21046498/motor-vehicles-motor-cycles/2010-subaru-liberty-2-5i-gt-premium-b5-automatic-sedan
2016,Mazda,CX-5,Maxx Sport KE Turbo Diesel Automatic Wagon,Wagon,5,2016-06,2016-06,JM0KE102200384342,?,?,?,0,4,2.2,Diesel,Automatic,169162,kilometre,White,Black,Yes,Yes,Yes,Yes,Yes,QLD,2025-04-09,73.0,0,https://www.grays.com/lot/0001-50514642/motor-vehicles-motor-cycles/2016-mazda-cx-5-maxx-sport-ke-turbo-diesel-automatic-wagon
2017,Ford,Transit,350L LWB MID ROOF VO Turbo Diesel Automatic Van,Van,3,2017-07,2017-09,WF0XXXTTGXHA23395,1VW5VH,VIC,02-06-2025,2,4,2,Diesel,Automatic,242970,kilometre,White,Black,Yes,No,Yes,Yes,Yes,VIC,2025-03-30,101.0,0,https://www.grays.com/lot/0001-21046255/motor-vehicles-motor-cycles/2017-ford-transit-350l-lwb-mid-roof-vo-turbo-diesel-automatic-van
2013,Jeep,Grand,Cherokee OVERLAND WK Automatic - 8 Speed Wagon,Wagon,5,2013-05,2013-07,1C4RJFGG9EC158062,No plates,NSW,?,?,6,3.6,Petrol,Automatic - 8 Speed,134329,kilometre,White,Black,Yes,No,No,Yes,Yes,NSW,2025-03-18,,0,https://www.grays.com/lot/0001-10347713/motor-vehicles-motor-cycles/2013-jeep-grand-cherokee-overland-wk-automatic-8-speed-wagon
2008,Kia,Rio,LX JB Manual Hatchback (WOVR - Inspected),Hatchback,5,2008-09,2008-10,KNADE241296456252,?,?,?,2,4,1.4,Petrol,Manual,121061,kilometre,White,Black,Yes,Yes,Yes,Yes,Yes,QLD,2025-03-19,7.0,0,https://www.grays.com/lot/0001-50514375/motor-vehicles-motor-cycles/2008-kia-rio-lx-jb-manual-hatchback-wovr-inspected
2011,Subaru,Liberty,2.5i B5 CVT Wagon,Wagon,5,2011-07,2011-09,JF1BR9K92BG027063,?,?,?,0,4,2.5,Petrol,CVT,180215,kilometre,White,Black,Yes,Yes,Yes,Yes,Yes,QLD,2025-04-16,16.0,0,https://www.grays.com/lot/0001-50514793/motor-vehicles-motor-cycles/2011-subaru-liberty-2-5i-b5-cvt-wagon
2012,(Comp),HONDA,CBR Manual Motorbike,?,2,?,2012-04,MLHMC41U2B5004376,No plates,?,?,?,1,0,Petrol,Manual,0000 Unable to read,kilometre,Black,Black,Yes,No,No,No,No,NSW,2025-03-30,,0,https://www.grays.com/lot/0001-10347957/motor-vehicles-motor-cycles/2012-comp-honda-cbr-manual-motorbike
2008,Volkswagen,Passat,R36 3C Automatic Wagon,Wagon,5,2008-07,2008-09,WVWZZZ3CZ9E029494,CGS58F,NSW,?,0,6,3.6,Petrol,Automatic,216905,kilometre,White,Black Leather,Yes,Yes,Yes,Yes,Yes,NSW,2025-03-23,,0,https://www.grays.com/lot/0001-10910525/motor-vehicles-motor-cycles/2008-volkswagen-passat-r36-3c-automatic-wagon
2013,Ford,Kuga,AWD TREND TF Turbo Diesel Automatic Wagon,Wagon,5,2013-11,2014-01,WF0AXXWPMADD77681,BW73XK,NSW,?,0,4,2,Diesel,Automatic,239590,kilometre,Grey,Black,Yes,Yes,Yes,Yes,Yes,NSW,2025-04-06,,0,https://www.grays.com/lot/0001-10910713/motor-vehicles-motor-cycles/2013-ford-kuga-awd-trend-tf-turbo-diesel-automatic-wagon
0,Volkswagen,Amarok,TDI580 HIGHLINE BLAC 2H T/Diesel Auto - 8 Speed Dual Cab,Dual Cab,5,?,2019-07,WV1ZZZ2HZKH024189,FNQ59Q,NSW,?,0,6,3,Diesel,Automatic - 8 Speed,122006,kilometre,Grey,Black Leather,Yes,Yes,Yes,Yes,Yes,NSW,2025-03-16,,0,https://www.grays.com/lot/0001-10910491/motor-vehicles-motor-cycles/volkswagen-amarok-tdi580-highline-blac-2h-t-diesel-auto-8-speed-dual-cab
2015,Nissan,X-Trail,ST FWD T32 CVT Wagon,Wagon,5,2015-11,2015-12,JN1TBAT32A0503254,?,?,?,1,4,2.5,Petrol,CVT,153898,kilometre,Silver,Black,Yes,No,Yes,Yes,Yes,QLD,2025-04-16,119.0,0,https://www.grays.com/lot/0001-50514807/motor-vehicles-motor-cycles/2015-nissan-x-trail-st-fwd-t32-cvt-wagon
2017,Volkswagen,Golf,110TSI A7 Automatic Hatchback,Hatchback,5,2017-06,2017-08,WVWZZZAUZJW021387,1LM6NA,VIC,09-05-2025,2,4,1.4,Petrol,Automatic,165207,kilometre,Grey,Black,Yes,No,Yes,Yes,Yes,VIC,2025-03-26,,0,https://www.grays.com/lot/0001-21045918/motor-vehicles-motor-cycles/2017-volkswagen-golf-110tsi-a7-automatic-hatchback
