Referred_URL,Sold_URL
,https://www.grays.com/lot/0001-9059027/motor-vehicles-motor-cycles/2018-bmw-g310-motorcycle
https://www.grays.com/lot/0001-50514949/motor-vehicles-motor-cycles/2017-holden-astra-r-bk-automatic-hatchback,
,https://www.grays.com/lot/0001-50514954/motor-vehicles-motor-cycles/2007-bmw-3-20i-e90-automatic-sedan
,https://www.grays.com/lot/0001-10910973/motor-vehicles-motor-cycles/2003-toyota-hilux-sr5-4x4-manual-dual-cab
,https://www.grays.com/lot/0001-9059038/motor-vehicles-motor-cycles/2014-holden-colorado-4x2-lx-rg-turbo-diesel-automatic-cab-chassis
,https://www.grays.com/lot/0001-9059007/motor-vehicles-motor-cycles/2014-peugeot-308-access-automatic-hatchback
https://www.grays.com/lot/0001-10910967/motor-vehicles-motor-cycles/2007-mitsubishi-pajero-vr-x-lwb-4x4-ns-automatic-7-seats-wagon,
,https://www.grays.com/lot/0001-9059087/motor-vehicles-motor-cycles/2003-holden-commodore-y-series-automatic-ute
https://www.grays.com/lot/0001-9059013/motor-vehicles-motor-cycles/2015-holden-colorado-4x4-lx-rg-turbo-diesel-manual-dual-cab,
,https://www.grays.com/lot/0001-9059058/motor-vehicles-motor-cycles/2011-mercedes-benz-e250-cdi-elegance-c207-turbo-diesel-automatic-coupe
,https://www.grays.com/lot/0001-9059042/motor-vehicles-motor-cycles/2010-mercedes-benz-ml350-cdi-w164-turbo-diesel-automatic-wagon
https://www.grays.com/lot/0001-10910965/motor-vehicles-motor-cycles/2007-bmw-3-35i-e92-automatic-coupe,
,https://www.grays.com/lot/0001-50514951/motor-vehicles-motor-cycles/2014-jeep-grand-cherokee-laredo-wk-automatic-8-speed-wagon
,https://www.grays.com/lot/0001-9059031/motor-vehicles-motor-cycles/2016-mazda-bt-50-4x2-xt-turbo-diesel-manual-extra-cab
,https://www.grays.com/lot/0001-10910979/motor-vehicles-motor-cycles/2015-hyundai-accent-active-rb-cvt-hatchback
,https://www.grays.com/lot/0001-9059037/motor-vehicles-motor-cycles/2004-mitsubishi-lancer-es-ch-automatic-sedan
,https://www.grays.com/lot/0001-9059009/motor-vehicles-motor-cycles/2013-volkswagen-caddy-tdi250-maxi-bluemot-t-d-auto-van
,https://www.grays.com/lot/0001-9059005/motor-vehicles-motor-cycles/2011-holden-sportwagon-sv6-ve-automatic-wagon
,https://www.grays.com/lot/0001-9059084/motor-vehicles-motor-cycles/2003-bmw-525i-e60-automatic-sedan-wovr-inspected
,https://www.grays.com/lot/0001-9058999/motor-vehicles-motor-cycles/2008-toyota-hilux-sr5-4x4-kun26r-turbo-diesel-automatic-dual-cab
https://www.grays.com/lot/0001-60047731/motor-vehicles-motor-cycles/2015-mitsubishi-triton-gls-4x4-mq-turbo-diesel-automatic-dual-cab,
,https://www.grays.com/lot/0001-9059091/motor-vehicles-motor-cycles/2009-mitsubishi-lancer-es-sportback-cj-manual-hatchback
https://www.grays.com/lot/0001-50514965/motor-vehicles-motor-cycles/2011-nissan-murano-ti-4x4-auto-suv,
https://www.grays.com/lot/0001-50514942/motor-vehicles-motor-cycles/2007-jeep-wrangler-unlimited-sport-4x4-jk-manual-wagon,
https://www.grays.com/lot/0001-9059025/motor-vehicles-motor-cycles/2013-bmw-x5-xdrive-30d-e70-lci-turbo-diesel-automatic-8-speed-wagon,
https://www.grays.com/lot/0001-50514957/motor-vehicles-motor-cycles/1989-holden-commodore-manual-sedan,
https://www.grays.com/lot/0001-9058816/motor-vehicles-motor-cycles/2005-mitsubishi-delica-automatic-8-seats-people-mover,
https://www.grays.com/lot/0001-50514962/motor-vehicles-motor-cycles/2018-hyundai-i30-active-pd-automatic-hatchback,
,https://www.grays.com/lot/0001-9059046/motor-vehicles-motor-cycles/2012-holden-captiva-7-sx-2wd-cg-ii-automatic-7-seats-wagon
,https://www.grays.com/lot/0001-10910975/motor-vehicles-motor-cycles/2016-hyundai-tucson-active-x-tl-automatic-wagon
https://www.grays.com/lot/0001-50514950/motor-vehicles-motor-cycles/2012-holden-captiva-5-4x4-cg-ii-turbo-diesel-automatic-wagon,
https://www.grays.com/lot/0001-50514933/motor-vehicles-motor-cycles/2010-mitsubishi-lancer-sx-sportback-cj-cvt-hatchback-wovr-repairable,
https://www.grays.com/lot/0001-50514941/motor-vehicles-motor-cycles/2011-ford-ranger-wildtrak-4x4-pk-t-diesel-auto-dual-cab-wovr-repairable,
,https://www.grays.com/lot/0001-60047687/motor-vehicles-motor-cycles/2014-toyota-hilux-kun26r-manual-extra-cab
https://www.grays.com/lot/0001-10910970/motor-vehicles-motor-cycles/2015-renault-master-lwb-mid-roof-turbo-diesel-automatic-van,
,https://www.grays.com/lot/0001-21047577/motor-vehicles-motor-cycles/2009-volvo-xc60-t6-3-0-automatic-wagon
,https://www.grays.com/lot/0001-21047834/motor-vehicles-motor-cycles/2007-land-rover-discovery-3-se-series-iii-turbo-diesel-auto-7-seats-wagon
,https://www.grays.com/lot/0001-21047584/motor-vehicles-motor-cycles/2015-jeep-grand-cherokee-laredo-4x4-wk-turbo-diesel-auto-8-speed-wagon
https://www.grays.com/lot/0001-50514987/motor-vehicles-motor-cycles/2020-nissan-navara-auto-ute,
,https://www.grays.com/lot/0001-9059061/motor-vehicles-motor-cycles/2017-land-rover-range-rover-evoque-td4-se-110kw-turbo-diesel-9-auto-wagon
,https://www.grays.com/lot/0001-50514930/motor-vehicles-motor-cycles/2003-land-rover-discovery-turbo-diesel-automatic-wagon
,https://www.grays.com/lot/0001-9059055/motor-vehicles-motor-cycles/2016-bmw-3-series-320d-f30-lci-turbo-diesel-automatic-8-speed-sedan
,https://www.grays.com/lot/0001-9059062/motor-vehicles-motor-cycles/2014-ford-kuga-ambiente-fwd-tf-ii-manual-wagon
